id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,zip_code,school_type,school_level,charter,percent_internet_access,student_teacher_ratio
470303001855,0.16403785488959,0.658587257617729,0.736332179930796,55087.0,18.6,0.315338474721508,2016-2017,TN,37040,Regular School,High,No,0.7240000000000001,103.08823529411765
470303002153,0.185430463576159,0.658651332984841,0.682985553772071,50500.0,18.8,0.270313757039421,2016-2017,TN,37042,Regular School,High,No,0.7240000000000001,96.91780821917808
470306001224,0.160524160524161,0.57379767827529,0.581349206349206,38694.0,18.5,0.415730337078652,2016-2017,TN,37352,Regular School,High,No,0.7240000000000001,70.16129032258064
470309001227,0.154848046309696,0.255019616893607,0.689342403628118,34276.0,17.7,0.415458937198068,2016-2017,TN,37887,Regular School,High,No,0.7240000000000001,94.95412844036697
470318000592,0.0895660203139428,0.608736059479554,0.159836065573771,27242.0,17.7,0.577405857740586,2016-2017,TN,37206,Regular School,High,No,0.7240000000000001,95.76923076923077
470318001257,0.0732004880032534,0.787639983409374,0.531180400890869,62470.0,17.6,0.646310432569975,2016-2017,TN,37013,Regular School,High,No,0.7240000000000001,106.71717171717172
470318001299,0.0691156462585034,0.57426508509541,0.568580542264753,40282.0,17.0,0.75,2016-2017,TN,37211,Regular School,High,No,0.7240000000000001,92.82758620689656
470318001318,0.0401785714285714,0.897099069512863,0.877551020408163,84481.0,19.7,0.464344941956882,2016-2017,TN,37215,Regular School,High,No,0.7240000000000001,105.78512396694215
470318001319,0.0145348837209302,0.91339648173207,1.0,105000.0,19.0,0.508771929824561,2016-2017,TN,37205,Regular School,High,No,0.7240000000000001,91.10236220472441
470318001320,0.0644865525672372,0.703991130820399,0.173913043478261,51900.0,27.4,0.161255411255411,2016-2017,TN,37203,Regular School,High,No,0.7240000000000001,106.47058823529412
470318001327,0.0371009490940466,0.927523727351165,0.947136563876652,100764.0,18.0,0.657174762702401,2016-2017,TN,37220,Regular School,High,No,0.7240000000000001,114.0677966101695
470318001337,0.144223107569721,0.372319034852547,0.194199243379571,26069.0,16.0,0.800205973223481,2016-2017,TN,37216,Regular School,High,No,0.7240000000000001,109.90888382687928
470318001342,0.0740474478792236,0.625774473358117,0.603004291845494,51992.0,18.4,0.572679509632224,2016-2017,TN,37214,Regular School,High,No,0.7240000000000001,99.49748743718592
470318001386,0.0813397129186603,0.619974874371859,0.723568281938326,46794.0,15.2,0.759124087591241,2016-2017,TN,37189,Regular School,High,No,0.7240000000000001,93.33333333333333
470318001815,0.150186567164179,0.448336252189142,0.454838709677419,15683.0,20.4,0.2796875,2016-2017,TN,37210,Regular School,High,No,0.7240000000000001,105.53571428571429
470318001924,0.140947752126367,0.556766575840145,0.1792656587473,30222.0,15.6,0.784382284382284,2016-2017,TN,37208,Regular School,High,No,0.7240000000000001,68.58585858585859
470318001961,0.0914396887159533,0.563636363636364,0.512280701754386,48875.0,16.4,0.732376793512165,2016-2017,TN,37207,Regular School,High,No,0.7240000000000001,99.34210526315789
470318001962,0.246376811594203,0.44149459193707,0.035778175313059,16563.0,26.8,0.21255230125523,2016-2017,TN,37203,Regular School,High,No,0.7240000000000001,103.87858347386172
470318002122,0.163380281690141,0.343550446998723,0.22979797979798,21042.0,17.3,0.702464788732394,2016-2017,TN,37210,Regular School,High,Yes,0.7240000000000001,44.875
470318002136,0.053109243697479,0.60651289009498,0.273532668881506,37670.0,17.8,0.488636363636364,2016-2017,TN,37209,Regular School,High,No,0.7240000000000001,52.054794520547944
470318002142,0.0732004880032534,0.787639983409374,0.531180400890869,62470.0,17.0,0.659485338120886,2016-2017,TN,37013,Regular School,High,No,0.7240000000000001,125.14084507042253
470324001396,0.0954219525648097,0.451153657339224,0.48062015503876,36944.0,23.1,0.30416068866571,2016-2017,TN,37830,Regular School,High,No,0.7240000000000001,71.92144373673035
470327001406,0.124220374220374,0.361196656401232,0.752903907074974,38295.0,19.2,0.438177874186551,2016-2017,TN,38260,Regular School,High,No,0.7240000000000001,78.26855123674912
470330001413,0.142608695652174,0.311854103343465,0.763693270735524,27778.0,19.4,0.434108527131783,2016-2017,TN,37841,Regular School,High,No,0.7240000000000001,71.0
470333001419,0.0761957730812013,0.342869342442357,0.775739041794088,35456.0,18.9,0.478615071283096,2016-2017,TN,38570,Regular School,High,No,0.7240000000000001,88.21782178217822
470339001348,0.126259946949602,0.36607858861267,0.725638599810785,31532.0,18.0,0.486187845303867,2016-2017,TN,37096,Regular School,High,No,0.7240000000000001,64.8076923076923
470342001437,0.0425045703839122,0.422057677318784,0.819068255687974,35510.0,19.7,0.446808510638298,2016-2017,TN,38549,Regular School,High,No,0.7240000000000001,71.47239263803681
470345001440,0.150214592274678,0.41769649036085,0.684981684981685,33729.0,17.6,0.617142857142857,2016-2017,TN,37317,Regular School,High,No,0.7240000000000001,60.925925925925924
470345001900,0.0835621812475481,0.391581632653061,0.655786350148368,42008.0,18.0,0.472972972972973,2016-2017,TN,37307,Regular School,High,No,0.7240000000000001,76.35135135135135
470348001454,0.120662039508809,0.33806055960138,0.599009900990099,30617.0,17.6,0.533235121997913,2016-2017,TN,38574,Regular School,High,No,0.7240000000000001,103.125
470348001457,0.0775018811136193,0.532498042286609,0.648117839607201,43500.0,20.2,0.346206269877328,2016-2017,TN,38501,Regular School,High,No,0.7240000000000001,101.71017101710171
470348001903,0.109180204004533,0.381851400730816,0.677295918367347,31300.0,19.0,0.432249322493225,2016-2017,TN,38544,Regular School,High,No,0.7240000000000001,105.0
470351001467,0.1010025993316,0.350533195734434,0.617647058823529,50464.0,18.6,0.512328767123288,2016-2017,TN,37332,Regular School,High,No,0.7240000000000001,88.23863636363636
470359000567,0.137434554973822,0.410047846889952,0.568480300187617,31506.0,18.5,0.541176470588235,2016-2017,TN,37748,Regular School,High,No,0.7240000000000001,84.61538461538461
470359001482,0.115705931495405,0.45283556568823,0.776367961934972,44269.0,19.2,0.446096654275093,2016-2017,TN,37763,Regular School,High,No,0.7240000000000001,71.72774869109948
